Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
253039_at	AT4G37760	A. thaliana	longday	5	0.88522	278.82,1105.37,549.924,175.825,556.753,158.868,360.497,928.247,606.545,206.462,572.428,150.748
253039_at	ct05-spike	A. thaliana	longday	5	0.88522	312.223,1026.15,550.199,312.223,312.223,312.223,312.223,1026.15,550.199,312.223,312.223,312.223
250690_at	AT5G06530	A. thaliana	longday	0	0.931639	184.393,141.438,19.7107,25.3587,83.8787,109.603,239.108,152.718,38.1351,20.9327,62.6116,117.812
250690_at	cos_per_24_ph_0	A. thaliana	longday	0	0.931639	188.946,144.294,54.9893,10.3371,54.9893,144.294,188.946,144.294,54.9893,10.3371,54.9893,144.294
250304_at	AT5G12110	A. thaliana	longday	4	0.877912	158.062,841.341,269.517,160.888,483.534,68.7351,97.9915,875.24,246.512,163.458,457.941,57.8974
250304_at	ct04-spike	A. thaliana	longday	4	0.877912	216.454,858.291,216.454,216.454,216.454,216.454,216.454,858.291,216.454,216.454,216.454,216.454
250257_at	AT5G13770	A. thaliana	longday	2	0.889823	978.409,943.027,499.224,296.877,607.31,460.907,1068.55,843.626,545.373,253.589,639.873,535.569
250257_at	ct02-spike	A. thaliana	longday	2	0.889823	958.403,958.403,479.84,479.84,479.84,479.84,958.403,958.403,479.84,479.84,479.84,479.84
246554_at	AT5G15450	A. thaliana	longday	4	0.886352	721.665,1567.73,734.597,452.538,922.168,411.544,519.032,1387.53,703.489,443.282,826.796,405.964
246554_at	ct04-spike	A. thaliana	longday	4	0.886352	614.108,1477.63,614.108,614.108,614.108,614.108,614.108,1477.63,614.108,614.108,614.108,614.108
246523_at	AT5G15850	A. thaliana	longday	1	0.923618	680.778,471.287,69.4042,28.9138,134.433,253.163,881.206,581.01,102.433,32.8827,175.699,220.476
246523_at	ct01-spike	A. thaliana	longday	1	0.923618	830.365,378.03,151.862,151.862,151.862,151.862,830.365,378.03,151.862,151.862,151.862,151.862
250099_at	AT5G17300	A. thaliana	longday	0	0.945105	555.929,84.9017,9.31413,10.2138,21.2217,117.124,919.54,110.992,10.6349,8.88793,43.0211,149.813
250099_at	ct00-spike	A. thaliana	longday	0	0.945105	737.735,56.6124,56.6124,56.6124,56.6124,56.6124,737.735,56.6124,56.6124,56.6124,56.6124,56.6124
250007_at	AT5G18670	A. thaliana	longday	1	0.977863	935.753,388.94,38.3736,99.6823,106.459,215.027,1092.28,385.501,56.075,52.3231,111.708,263.934
250007_at	ct01-spike	A. thaliana	longday	1	0.977863	1005.99,411.288,113.936,113.936,113.936,113.936,1005.99,411.288,113.936,113.936,113.936,113.936
245936_at	AT5G19850	A. thaliana	longday	4	0.907538	28.0692,114.059,37.4772,25.102,56.1065,15.3646,24.1788,99.6555,29.5258,18.0666,53.5297,12.8702
245936_at	ct04-spike	A. thaliana	longday	4	0.907538	30.029,106.857,30.029,30.029,30.029,30.029,30.029,106.857,30.029,30.029,30.029,30.029
249411_at	AT5G40390	A. thaliana	longday	5	0.811116	433.444,733.153,530.98,520.157,510.886,403.917,467.853,673.781,526.385,524.811,516.45,283.455
249411_at	ct05-spike	A. thaliana	longday	5	0.811116	456.137,700.498,537.591,456.137,456.137,456.137,456.137,700.498,537.591,456.137,456.137,456.137
248195_at	AT5G54110	A. thaliana	longday	2	0.962596	188.852,196.228,84.0625,47.1317,70.6082,99.9528,222.809,192.206,82.9168,46.3463,87.2919,81.8165
248195_at	ct02-spike	A. thaliana	longday	2	0.962596	200.024,200.024,75.0158,75.0158,75.0158,75.0158,200.024,200.024,75.0158,75.0158,75.0158,75.0158
248190_at	AT5G54130	A. thaliana	longday	1	0.968939	96.6241,63.6046,18.1891,16.8022,15.3964,19.9345,134.833,45.8534,21.1156,11.0382,24.2207,16.2899
248190_at	ct01-spike	A. thaliana	longday	1	0.968939	116.884,51.2622,18.4511,18.4511,18.4511,18.4511,116.884,51.2622,18.4511,18.4511,18.4511,18.4511
248191_at	AT5G54130	A. thaliana	longday	1	0.95931	250.153,187.889,40.1206,70.7576,72.6802,67.4588,344.242,169.568,45.6481,48.956,66.0629,66.8477
248191_at	ct01-spike	A. thaliana	longday	1	0.95931	308.048,146.177,65.2417,65.2417,65.2417,65.2417,308.048,146.177,65.2417,65.2417,65.2417,65.2417
