Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
263097_at	ct03-spike	A. thaliana	longday	3	0.923185	278.238,448.734,192.99,192.99,192.99,192.99,278.238,448.734,192.99,192.99,192.99,192.99
263739_at	AT2G21320	A. thaliana	longday	3	0.921314	128.231,443.972,111.206,12.9894,34.1442,7.5438,180.81,354.269,185.734,9.06614,21.3879,10.4748
263739_at	ct03-spike	A. thaliana	longday	3	0.921314	163.71,396.057,47.5367,47.5367,47.5367,47.5367,163.71,396.057,47.5367,47.5367,47.5367,47.5367
263796_at	AT2G24540	A. thaliana	longday	3	0.974207	127.916,219.66,25.9611,17.6996,38.8229,20.4808,106.618,199.715,29.9677,14.5181,53.9215,18.7744
263796_at	ct03-spike	A. thaliana	longday	3	0.974207	93.5189,217.604,31.4763,31.4763,31.4763,31.4763,93.5189,217.604,31.4763,31.4763,31.4763,31.4763
267612_at	AT2G26690	A. thaliana	longday	3	0.941631	851.801,1334.01,730.73,707.435,848.485,642.026,904.246,1393.11,863.536,741.736,860.037,636.436
267612_at	ct03-spike	A. thaliana	longday	3	0.941631	942.686,1342.01,743.026,743.026,743.026,743.026,942.686,1342.01,743.026,743.026,743.026,743.026
255793_at	AT2G33250	A. thaliana	longday	1	0.911991	271.576,320.013,129.934,72.3169,154.192,189.88,350.826,234.452,138.636,95.4817,168.744,203.877
255793_at	ct01-rigid	A. thaliana	longday	1	0.911991	304.618,260.435,172.069,83.7038,127.887,216.252,304.618,260.435,172.069,83.7038,127.887,216.252
267005_at	AT2G34460	A. thaliana	longday	5	0.923397	521.571,1014.61,668.361,372.95,603.505,344.145,525.599,1016.88,634.089,333.341,479.561,269.847
267005_at	ct05-spike	A. thaliana	longday	5	0.923397	434.738,1022.59,630.688,434.738,434.738,434.738,434.738,1022.59,630.688,434.738,434.738,434.738
265203_at	AT2G36630	A. thaliana	longday	4	0.981771	23.504,76.8084,20.9513,17.1503,18.4477,15.7492,24.346,75.043,26.3622,12.6421,13.0206,16.944
265203_at	ct04-spike	A. thaliana	longday	4	0.981771	18.9118,75.9257,18.9118,18.9118,18.9118,18.9118,18.9118,75.9257,18.9118,18.9118,18.9118,18.9118
266963_at	AT2G39450	A. thaliana	longday	3	0.809901	624.765,882.374,584.316,532.49,750.304,546.451,663.904,938.185,617.114,480.48,727.035,462.33
266963_at	ct03-spike	A. thaliana	longday	3	0.809901	685.9,896.424,580.637,580.637,580.637,580.637,685.9,896.424,580.637,580.637,580.637,580.637
263805_at	AT2G40400	A. thaliana	longday	2	0.847866	213.31,300.691,138.214,47.9999,138.294,114.494,210.333,235.975,150.02,40.8104,132.696,116.047
263805_at	ct02-spike	A. thaliana	longday	2	0.847866	240.077,240.077,109.822,109.822,109.822,109.822,240.077,240.077,109.822,109.822,109.822,109.822
